,Country Name,m2016,f2016,index_,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Unnamed: 30,mean_age
176,Sudan,"44,8","4,532",205,SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,,Sub-Saharan Africa,Low income,SD,1996,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,,BPM6,Preliminary,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",,,2001.0,2017.0,,69
177,Senegal,"33,6","4,769",206,SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,,Sub-Saharan Africa,Lower middle income,SN,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2013,"Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",,2013,2012.0,2018.0,,48
178,Singapore,"2,2","1,2",207,SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,SG,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected). Population figures compiled from administrative registers.,"National Health Survey, 2010",,Yes,,2014.0,2018.0,,30
179,Solomon Islands,"21,8","3,85",208,SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,2012,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",,,,2018.0,,50
180,Sierra Leone,"83,3","4,457",209,SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,,Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020,"Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",,,1993.0,2017.0,,90
181,El Salvador,"12,9","2,079",210,SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,Original chained constant price data are rescaled.,2014.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",Yes,2007-2008,1998.0,2018.0,,37
182,El Salvador,"12,9","2,079",210,SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,Original chained constant price data are rescaled.,2014.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",Yes,2007-2008,1998.0,2018.0,,42
183,San Marino,"2,5",,211,SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,,Europe & Central Asia,High income,SM,2007,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,Yes,,,,,45
184,Somalia,"82,6","6,267",212,SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,,Sub-Saharan Africa,Low income,SO,2013,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,1977–90,,BPM5 (Converted into BPM6 by IMF),Actual,,,,1987. Enumeration of settled population was in November 1986 and of nomads in February 1987.,"Multiple Indicator Cluster Survey, 2006",,,,1986.0,,,32
185,Serbia,"5,1","1,46",213,SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Europe & Central Asia,Upper middle income,YF,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Expenditure survey/budget survey (ES/BS), 2016",Yes,2012,2014.0,2018.0,,79
186,South Sudan,"59,2","4,855",215,SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,Fiscal year end: June 30; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,SS,2009,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,,,2008,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",,,,,,75
187,Suriname,"17,8","2,372",219,SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,,Latin America & Caribbean,Upper middle income,SR,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008-2009,,2018.0,,54
188,Suriname,"17,8","2,372",219,SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,,Latin America & Caribbean,Upper middle income,SR,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008-2009,,2018.0,,55
189,Slovak Republic,"4,9","1,4",220,SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,63
190,Slovak Republic,"4,9","1,4",220,SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,38
191,Slovenia,"1,8","1,57",221,SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2018. Population figures compiled from administrative registers.,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,59
192,Slovenia,"1,8","1,57",221,SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2018. Population figures compiled from administrative registers.,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,81
193,Sweden,"2,4","1,85",222,SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,50
194,Sweden,"2,4","1,85",222,SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,87
195,Sint Maarten (Dutch part),,,224,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,,Latin America & Caribbean,High income,SX,2011,,Value added at basic prices (VAB),,,,,,BPM6,,,,,,,,Yes,,,,,64
196,Seychelles,"12,3","2,78",225,SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,,Sub-Saharan Africa,High income,SC,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2011,,2018.0,,65
197,Syrian Arab Republic,"14,2","2,916",226,SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,,Middle East & North Africa,Low income,SY,2000,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology,1970–2010,,BPM5 (Converted into BPM6 by IMF),Estimate,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2004,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",,,2005.0,2010.0,,73
198,Turks and Caicos Islands,,,227,TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,,Latin America & Caribbean,High income,TC,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2012,"Multiple Indicator Cluster Survey, 2019/20",,Yes,,,2012.0,,31
199,Chad,"75,2","5,947",228,TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,,Sub-Saharan Africa,Low income,TD,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Preliminary,,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",,,,1995.0,,86
200,Togo,"50,7","4,45",231,TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,,Sub-Saharan Africa,Low income,TG,2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,2011-14,,2017.0,,82
201,Thailand,"10,5","1,482",232,THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,Original chained constant price data are rescaled.,2002.0,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",,2013,2011.0,2018.0,,66
202,Tajikistan,"37,1","3,36",233,TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Lower middle income,TJ,Original chained constant price data are rescaled.,2000.0,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,1990–95,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",,2013,,,,78
203,Tajikistan,"37,1","3,36",233,TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Lower middle income,TJ,Original chained constant price data are rescaled.,2000.0,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,1990–95,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",,2013,,,,89
204,Turkmenistan,"43,4","2,888",234,TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,,Europe & Central Asia,Upper middle income,TM,Original chained constant price data are rescaled.,2005.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,"1987–95, 1997–2007",,BPM5 (Converted into BPM6 by IMF),Actual,,,,2012,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",,,,2000.0,,40
205,Timor-Leste,"42,4","5,503",236,TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,,East Asia & Pacific,Lower middle income,TP,2015,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2015,"Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15",,,,2017.0,,61
206,Tonga,"14,1","3,636",238,TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,TO,2016/17,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2009",,2015,1981.0,2014.0,,85
207,Trinidad and Tobago,"16,5","1,752",241,TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,,Latin America & Caribbean,High income,TT,2012,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992",Yes,,2006.0,2015.0,,60
208,Tunisia,"11,7","2,201",242,TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,,Middle East & North Africa,Lower middle income,TN,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",,,2010.0,2017.0,,86
209,Tunisia,"11,7","2,201",242,TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,,Middle East & North Africa,Lower middle income,TN,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",,,2010.0,2017.0,,32
210,Turkey,"10,9","2,053",243,TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,,Europe & Central Asia,Upper middle income,TR,Original chained constant price data are rescaled.,2009.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016",Yes,,2014.0,2018.0,,89
211,Turkey,"10,9","2,053",243,TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,,Europe & Central Asia,Upper middle income,TR,Original chained constant price data are rescaled.,2009.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016",Yes,,2014.0,2018.0,,36
212,Tuvalu,"21,4",,244,TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,,East Asia & Pacific,Upper middle income,TV,2005,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology,,,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2010",,,,2008.0,,50
213,Tuvalu,"21,4",,244,TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,,East Asia & Pacific,Upper middle income,TV,2005,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology,,,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2010",,,,2008.0,,67
214,Tanzania,"40,3","5,016",245,TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Lower middle income,TZ,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",,2007-2008,2010.0,2018.0,,49
215,Tanzania,"40,3","5,016",245,TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Lower middle income,TZ,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",,2007-2008,2010.0,2018.0,,64
216,Uganda,"37,7","5,591",246,UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,Fiscal year end: June 30; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,UG,2016/2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","Integrated household survey (IHS), 2015/16",,2008-2009,2000.0,2018.0,,71
217,Ukraine,"7,8","1,466",247,UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,,Europe & Central Asia,Lower middle income,UA,Original chained constant price data are rescaled.,2016.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1987–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2017",Yes,,2014.0,2018.0,,63
218,Uruguay,"7,9","1,995",249,URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,,Latin America & Caribbean,High income,UY,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2017",Yes,2011,2011.0,2018.0,,89
219,United States,"5,6","1,8",250,USA,United States,United States,United States of America,US,U.S. dollar,,North America,High income,US,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Labor force survey (LFS), 2016",Yes,2012,2011.0,2018.0,,48
220,Uzbekistan,"21,4","2,455",251,UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek som,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,1990–95,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),1989,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013",Yes,,,2018.0,,33
221,St. Vincent and the Grenadines,"15,2","1,931",252,VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,VC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,,,Yes,,,2018.0,,49
222,British Virgin Islands,,,254,VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,VG,U.S. dollar,,Latin America & Caribbean,High income,VG,,,,,,,,,,,,,,2020 (expected),"STEPS Risk Factor Survey, 2010",,Yes,,,,,42
223,Vietnam,"17,3","1,954",256,VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,,East Asia & Pacific,Lower middle income,VN,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1991,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2019,"Multiple Indicator Cluster Survey, 2020/21","Integrated household survey (IHS), 2016",Yes,2016,2013.0,2017.0,,48
224,Vanuatu,"23,1","3,275",257,VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,,East Asia & Pacific,Lower middle income,VU,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Estimate,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2007/08","Integrated household survey (IHS), 2010",,2007,,2011.0,,49
225,Samoa,"14,8","3,976",259,WSM,Samoa,Samoa,Samoa,WS,Samoan tala,Fiscal year ends on June 30; reporting period for national accounts data: FY.,East Asia & Pacific,Lower middle income,WS,2013,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2013",,2009,,2018.0,,72
226,Kosovo,,"2,06",260,XKX,Kosovo,Kosovo,Republic of Kosovo,XK,Euro,,Europe & Central Asia,Upper middle income,XK,Original chained constant price data are rescaled.,2008.0,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2015",,2014,,,,33
227,South Africa,"34,2","2,458",262,ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,ZA,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014/15",,2007,2010.0,2018.0,,83
228,Zambia,"43,8","4,981",263,ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",Sub-Saharan Africa,Lower middle income,ZM,2010,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1990–92,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2015",,,1994.0,2018.0,,74
229,Zimbabwe,40,"3,76",264,ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,Zimbabwean Dollar,"National Accounts data are in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.",Sub-Saharan Africa,Lower middle income,ZW,2012,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,"1991, 1998",,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2011/12",,,,2018.0,,82
